run_id	map	launch_file	scenario_yaml	metrics_file	runtime_stats_file	log_file	use_gpu	trigger_xyz	finish_timeout_sec	trigger_timeout_sec	trigger_retry_sec	trigger_attempts	trigger_ack_sec	trigger_callback_seen	exp_time_sec	avg_vel_mps	avg_tm_s	max_tm_s	exp_finished	path_length_m	avg_tm_ms	max_tm_ms
20260529_234506	garage	garage.launch	src/global_planner/exploration_manager/config/garage.yaml	results/garage_20260529_234506_metrics.txt	results/garage_20260529_234506_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260529_234506.log	false	3.0,0.0,1.0	1800	10	0.2	2	16.357	true	822.527	3.314	0.070653	0.189508	true	2725.480	70.652767	189.507919
20260530_003626	garage	garage.launch	src/global_planner/exploration_manager/config/garage.yaml	results/garage_20260530_003626_metrics.txt	results/garage_20260530_003626_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_003626.log	false	3.0,0.0,1.0	1800	10	0.2	2	16.348	true	720.480	3.320	0.060900	0.121249	true	2391.843	60.899542	121.248825
20260530_145536	cave	cave.launch	src/global_planner/exploration_manager/config/cave.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_145536_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_145536_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_145536.log	false	3.0,0.0,1.0	1800	10	0.2	2	16.364	true	1174.632	2.851	0.095851	0.160902	true	3349.283	95.851419	160.901627
20260530_152615	factory	factory.launch	src/global_planner/exploration_manager/config/factory.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/factory_20260530_152615_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/factory_20260530_152615_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/factory_20260530_152615.log	true	3.0,0.0,1.0	1500	6	0.2	1	8.078	true	26.813	3.522	0.018879	0.028600	true	94.422	18.878807	28.599752
20260530_154002	cave	cave.launch	src/global_planner/exploration_manager/config/cave.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_154002_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_154002_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_154002.log	true	3.0,0.0,1.0	1500	10	0.2	2	16.299	true	1208.978	2.877	0.101733	0.179941	true	3478.200	101.732938	179.941040
20260530_164400	cave	cave.launch	src/global_planner/exploration_manager/config/cave.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_164400_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_164400_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_164400.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.172	true	1098.050	2.843	0.097747	0.146336	true	3121.566	97.747313	146.335983
20260530_170258	cave	cave.launch	src/global_planner/exploration_manager/config/cave.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_170258_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_170258_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_170258.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.083	true	1107.084	2.869	0.096389	0.153332	true	3176.540	96.389080	153.332001
20260530_172143	cave	cave.launch	src/global_planner/exploration_manager/config/cave.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_172143_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_172143_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_172143.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.102	true	1149.325	2.804	0.097663	0.160285	true	3222.147	97.662833	160.285248
20260530_174111	cave	cave.launch	src/global_planner/exploration_manager/config/cave.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_174111_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_174111_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_174111.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.084	true	1100.404	2.844	0.097464	0.160101	true	3130.016	97.463833	160.100800
20260530_175950	cave	cave.launch	src/global_planner/exploration_manager/config/cave.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_175950_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_175950_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/cave_20260530_175950.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.056	true	1233.745	2.887	0.095695	0.174991	true	3561.787	95.694917	174.990616
20260530_184601	garage	garage.launch	src/global_planner/exploration_manager/config/garage.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_184601_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_184601_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_184601.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.086	true	708.341	3.286	0.055142	0.114425	true	2327.736	55.141876	114.425392
20260530_185807	garage	garage.launch	src/global_planner/exploration_manager/config/garage.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_185807_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_185807_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_185807.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.126	true	772.232	3.327	0.063906	0.119234	true	2569.042	63.905534	119.233566
20260530_191117	garage	garage.launch	src/global_planner/exploration_manager/config/garage.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_191117_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_191117_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_191117.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.122	true	701.150	3.309	0.058171	0.122627	true	2320.396	58.170921	122.626778
20260530_192316	garage	garage.launch	src/global_planner/exploration_manager/config/garage.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_192316_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_192316_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_192316.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.114	true	720.648	3.303	0.065886	0.174568	true	2380.537	65.885963	174.568176
20260530_193534	garage	garage.launch	src/global_planner/exploration_manager/config/garage.yaml	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_193534_metrics.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_193534_runtime_stats.txt	/home/robot/Research/Research_code/EPIC/EPIC/results/garage_20260530_193534.log	true	3.0,0.0,1.0	1500	20	0.2	1	13.118	true	817.755	3.308	0.060258	0.105065	true	2705.046	60.257743	105.064613
